Issue,Red1,Red2,Red3,Red4,Red5,Red6,Blue balls
0.1508,0.025,0.125,0.15,0.3,0.4,0.525,0.275
0.1512,0.15,0.35,0.65,0.725,0.8,0.825,0.175
0.1516,0.05,0.075,0.225,0.375,0.725,0.8,0.075
0.152,0.025,0.175,0.325,0.425,0.575,0.75,0.4
0.1524,0.075,0.1,0.2,0.775,0.8,0.825,0.05
0.1528,0.025,0.325,0.35,0.425,0.6,0.65,0.125
0.1532,0.1,0.15,0.325,0.55,0.65,0.8,0.175
0.1536,0.125,0.225,0.525,0.575,0.65,0.725,0.15
0.154,0.025,0.05,0.125,0.5,0.525,0.55,0.225
0.1544,0.05,0.075,0.1,0.325,0.4,0.675,0.325
0.1548,0.1,0.325,0.35,0.475,0.575,0.7,0.2
0.1552,0.05,0.175,0.225,0.275,0.525,0.675,0.15
0.1556,0.075,0.1,0.425,0.475,0.6,0.8,0.125
0.156,0.025,0.05,0.45,0.55,0.725,0.8,0.075
0.1564,0.15,0.2,0.275,0.35,0.4,0.675,0.375
0.1568,0.125,0.175,0.35,0.4,0.425,0.675,0.1
0.1572,0.075,0.1,0.175,0.225,0.35,0.475,0.2
0.1576,0.2,0.325,0.375,0.425,0.5,0.8,0.35
0.158,0.075,0.25,0.3,0.4,0.775,0.8,0.35
0.1584,0.125,0.45,0.5,0.6,0.65,0.775,0.225
0.1588,0.375,0.5,0.55,0.575,0.675,0.775,0.15
0.1592,0.05,0.25,0.375,0.4,0.425,0.825,0.325
0.1596,0.075,0.225,0.325,0.525,0.675,0.725,0.325
0.16,0.1,0.175,0.25,0.4,0.425,0.525,0.225
0.1604,0.05,0.3,0.575,0.6,0.625,0.8,0.35
0.1608,0.05,0.35,0.425,0.475,0.55,0.75,0.25
0.1612,0.4,0.475,0.55,0.7,0.775,0.8,0.075
0.1616,0.375,0.55,0.625,0.65,0.7,0.825,0.075
0.162,0.075,0.25,0.4,0.45,0.525,0.7,0.1
0.1624,0.075,0.4,0.575,0.65,0.7,0.775,0.275
0.1628,0.125,0.3,0.325,0.4,0.575,0.8,0.075
0.1632,0.05,0.25,0.45,0.525,0.75,0.775,0.125
0.1636,0.15,0.175,0.25,0.35,0.5,0.525,0.1
0.164,0.325,0.45,0.575,0.725,0.775,0.8,0.2
0.1644,0.05,0.425,0.5,0.55,0.7,0.8,0.075
0.1648,0.225,0.325,0.475,0.625,0.725,0.8,0.3
0.1652,0.15,0.25,0.3,0.325,0.425,0.5,0.075
0.1656,0.05,0.15,0.3,0.375,0.625,0.775,0.175
0.166,0.05,0.15,0.175,0.425,0.675,0.75,0.4
0.1664,0.275,0.6,0.65,0.675,0.75,0.8,0.075
0.1668,0.025,0.275,0.425,0.675,0.7,0.775,0.05
0.1672,0.075,0.125,0.175,0.25,0.7,0.75,0.1
0.1676,0.1,0.125,0.7,0.725,0.775,0.825,0.275
0.168,0.275,0.325,0.375,0.525,0.575,0.625,0.2
